series_code,category,price_type,adjustment_type,date,sales_value,price_flag,seasonal_adjusted,year,month,quarter
sales621C,General dealers,At current prices,Actual values,2005-03-01,11988.0,Current,False,2005,3,2005Q1
sales6220,"Retailers of food, beverages and tobacco in specialised stores",At current prices,Actual values,2005-03-01,2931.0,Current,False,2005,3,2005Q1
sales6231,"Retailers in pharmaceutical and medical goods,cosmetics and toiletries",At current prices,Actual values,2005-03-01,1725.0,Current,False,2005,3,2005Q1
sales6232,"Retailers in textiles,clothing,footwear and leather goods",At current prices,Actual values,2005-03-01,3780.0,Current,False,2005,3,2005Q1
sales6233,"Retailers in household furniture,appliances and equipment",At current prices,Actual values,2005-03-01,1921.0,Current,False,2005,3,2005Q1
sales6234,"Retailers in hardware,paint and glass",At current prices,Actual values,2005-03-01,2547.0,Current,False,2005,3,2005Q1
sales6239,All other retailers,At current prices,Actual values,2005-03-01,4928.0,Current,False,2005,3,2005Q1
sales621C_D11,General dealers,At current prices,Seasonally adjusted values,2005-03-01,11954.0,Current,True,2005,3,2005Q1
sales6220_D11,"Retailers of food, beverages and tobacco in specialised stores",At current prices,Seasonally adjusted values,2005-03-01,2935.0,Current,True,2005,3,2005Q1
sales6231_D11,"Retailers in pharmaceutical and medical goods,cosmetics and toiletries",At current prices,Seasonally adjusted values,2005-03-01,1717.0,Current,True,2005,3,2005Q1
sales6232_D11,"Retailers in textiles,clothing,footwear and leather goods",At current prices,Seasonally adjusted values,2005-03-01,4444.0,Current,True,2005,3,2005Q1
sales6233_D11,"Retailers in household furniture,appliances and equipment",At current prices,Seasonally adjusted values,2005-03-01,2209.0,Current,True,2005,3,2005Q1
sales6234_D11,"Retailers in hardware,paint and glass",At current prices,Seasonally adjusted values,2005-03-01,2743.0,Current,True,2005,3,2005Q1
sales6239_D11,All other retailers,At current prices,Seasonally adjusted values,2005-03-01,5113.0,Current,True,2005,3,2005Q1
con_act,,At constant prices,Actual values,2005-04-01,56186.0,Constant,False,2005,4,2005Q2
con_seas,,At constant prices,Seasonally adjusted values,2005-04-01,58539.0,Constant,False,2005,4,2005Q2
cur_act,,At current prices,Actual values,2005-04-01,30284.0,Current,False,2005,4,2005Q2
cur_seas,,At current prices,Seasonally adjusted values,2005-04-01,31187.0,Current,False,2005,4,2005Q2
sales621C,General dealers,At current prices,Actual values,2005-04-01,11228.0,Current,False,2005,4,2005Q2
sales6220,"Retailers of food, beverages and tobacco in specialised stores",At current prices,Actual values,2005-04-01,2887.0,Current,False,2005,4,2005Q2
sales6231,"Retailers in pharmaceutical and medical goods,cosmetics and toiletries",At current prices,Actual values,2005-04-01,1950.0,Current,False,2005,4,2005Q2
